colony_id,Genotype,timepoint,month,nutrient,site_code,Host_AFDW.mg.cm2,Sym_AFDW.mg.cm2,Host_DW.mg.cm2,Sym_DW.mg.cm2,chla.ug.cm2,chlc2.ug.cm2,Am,AQY,Rd,cells.cm2,chla.ug.cell,chlc2.ug.cell
ACR-150,Genotype15,timepoint1,Jan-20,High,Manava High,1.075952038,1.293866375,163.6809062,196.1569523,1.68067624,0.880642909,2.034238312,0.003363935,0.839834245,909111.3739,1.85E-06,9.69E-07
ACR-237,Genotype15,timepoint1,Jan-20,Low,Mahana Low,0.980726761,1.035211581,256.3401813,311.1900497,1.259724455,0.442258733,2.198087477,0.004169762,0.786989876,1024920.004,1.23E-06,4.32E-07
ACR-368,Genotype15,timepoint1,Jan-20,Medium,Hilton Medium,1.12038016,0.920312275,376.4477339,456.8350104,1.115582533,0.237416559,0.963404136,0.002290263,0.32228804,898082.5095,1.24E-06,2.64E-07
ACR-150,Genotype15,timepoint4,Nov-20,High,Manava High,2.717472072,1.367558997,211.874592,258.8436264,0.824885118,0.248053145,0.975636766,0.002152865,0.169811816,445559.5443,1.85E-06,5.57E-07
ACR-237,Genotype15,timepoint4,Nov-20,Low,Mahana Low,1.590088417,0.88919418,112.5057296,204.8982355,1.178074191,0.366525841,1.190618203,0.003658288,0.571610868,226947.9264,5.19E-06,1.62E-06
ACR-368,Genotype15,timepoint4,Nov-20,Medium,Hilton Medium,0.660112308,0.580654345,58.18278776,69.97801675,0.414544417,0.121423992,0.488615731,0.001251214,0.11478202,94534.60207,4.39E-06,1.28E-06
ACR-225,Genotype4,timepoint1,Jan-20,Low,Mahana Low,2.01885988,0.613842531,325.6639241,395.5192041,1.084492651,0.765031946,1.115013671,0.002031283,0.441029386,1000335.976,1.08E-06,7.65E-07
ACR-243,Genotype4,timepoint1,Jan-20,Low,Mahana Low,1.226716249,1.533395311,402.5333069,486.4696624,2.092593345,2.0992267,1.440175123,0.001505888,0.565045913,626846.3239,3.34E-06,3.35E-06
ACR-350,Genotype4,timepoint1,Jan-20,Medium,Hilton Medium,0.580844103,0.681236911,84.09331843,104.1754655,0.500208062,0.132755147,0.647437599,0.002196204,0.333610959,263531.1207,1.90E-06,5.04E-07
ACR-390,Genotype4,timepoint1,Jan-20,Medium,Hilton Medium,0.822711791,0.547015818,208.7587407,249.0016004,0.458576489,0.236757198,0.653579711,0.001445209,0.286895559,222696.2175,2.06E-06,1.06E-06
