Genotype,site,V1_timepoint0,V1_timepoint1,V1_timepoint4,V2_timepoint0,V2_timepoint1,V2_timepoint4
Genotype15,site1,-0.107114454,4.221643998,0.348406282,1.706695669,-0.948877446,-0.203900512
Genotype15,site2,-0.107114454,4.364566226,1.249613052,1.706695669,-2.09262276,0.110046135
Genotype15,site3,-0.107114454,0.963515009,-2.993795929,1.706695669,-1.021535941,0.006150353
Genotype4,site1,-1.81342947,-8.32E-04,-1.188537212,-0.161632278,-1.001464084,1.501297051
Genotype4,site2,-1.81342947,2.166059522,-0.778598257,-0.161632278,0.882141272,1.04341228
Genotype4,site3,-1.81342947,-1.30741039,-1.650478653,-0.161632278,-1.243190233,0.10262512
Genotype6,site1,-2.058100907,2.37257416,-0.841036599,-0.275163248,2.540703364,0.081692741
Genotype6,site2,-2.058100907,1.181676695,-1.046632127,-0.275163248,1.551505139,-0.101291957
Genotype6,site3,-2.058100907,0.537268871,-0.726210854,-0.275163248,-2.075712925,-0.11492342
Genotype8,site1,-3.479694688,0.87903256,-1.389533759,0.355010705,0.345073963,-1.104876641
Genotype8,site2,-3.479694688,3.511206701,-1.985134882,0.355010705,1.861416991,0.235145909
Genotype8,site3,-3.479694688,1.112209571,-1.541232071,0.355010705,-1.492171499,-0.485553749
