colony_id,site,species,lat,lon,genotype,purpose,notes
1-ACR-1,site1,Acropora,-17.47687203,-149.805937,Wild,Baseline,
1-ACR-2,site1,Acropora,-17.47687203,-149.805937,Wild,Baseline,
1-ACR-3,site1,Acropora,-17.47687203,-149.805937,Wild,Baseline,
1-POC-1,site1,Pocillopora,-17.47687203,-149.805937,Wild,Baseline,
1-POC-2,site1,Pocillopora,-17.47687203,-149.805937,Wild,Baseline,
1-POC-3,site1,Pocillopora,-17.47687203,-149.805937,Wild,Baseline,
1-POR-1,site1,Porites,-17.47687203,-149.805937,Wild,Baseline,
1-POR-2,site1,Porites,-17.47687203,-149.805937,Wild,Baseline,
1-POR-3,site1,Porites,-17.47687203,-149.805937,Wild,Baseline,
2-ACR-1,site2,Acropora,-17.4871,-149.88766,Wild,Baseline,
2-ACR-2,site2,Acropora,-17.4871,-149.88766,Wild,Baseline,
2-ACR-3,site2,Acropora,-17.4871,-149.88766,Wild,Baseline,
2-POC-1,site2,Pocillopora,-17.4871,-149.88766,Wild,Baseline,
2-POC-2,site2,Pocillopora,-17.4871,-149.88766,Wild,Baseline,
2-POC-3,site2,Pocillopora,-17.4871,-149.88766,Wild,Baseline,
2-POR-1,site2,Porites,-17.4871,-149.88766,Wild,Baseline,
2-POR-2,site2,Porites,-17.4871,-149.88766,Wild,Baseline,
2-POR-3,site2,Porites,-17.4871,-149.88766,Wild,Baseline,
3-POR-1,site3,Porites,-17.48150001,-149.84908,Wild,Baseline,
3-POR-2,site3,Porites,-17.48150001,-149.84908,Wild,Baseline,
3-POR-3,site3,Porites,-17.48150001,-149.84908,Wild,Baseline,
3-POC-1,site3,Pocillopora,-17.48150001,-149.84908,Wild,Baseline,
3-POC-2,site3,Pocillopora,-17.48150001,-149.84908,Wild,Baseline,
3-POC-3,site3,Pocillopora,-17.48150001,-149.84908,Wild,Baseline,
Apul_218,nursery,Acropora,NA,NA,NA,Baseline,
Apul_237,nursery,Acropora,NA,NA,Genotype15,Baseline,
Apul_246,nursery,Acropora,NA,NA,NA,Baseline,
Apul_227,nursery,Acropora,NA,NA,NA,Baseline,
Apul_234,nursery,Acropora,NA,NA,Genotype6,Baseline,
Apul_247,nursery,Acropora,NA,NA,Genotype14,Baseline,
Apul_267,nursery,Acropora,NA,NA,Genotype1,Baseline,
Apul_231,nursery,Acropora,NA,NA,Genotype10,Baseline,
Apul_243,nursery,Acropora,NA,NA,Genotype4,Baseline,
Apul_244,nursery,Acropora,NA,NA,Genotype8,Baseline,
